0.000031,1,0.000027,43,0.000050,188,0.000370,768,0.002625,3088,
0.000024,1,0.000024,43,0.000051,188,0.000223,768,0.001936,3088,
0.000036,1,0.000042,43,0.000144,188,0.000368,768,0.001592,3088,
0.000022,1,0.000025,43,0.000047,188,0.000240,768,0.001558,3088,
0.000033,1,0.000039,43,0.000080,188,0.000213,768,0.001509,3088,
0.000037,1,0.000026,43,0.000082,188,0.000313,768,0.001514,3088,
0.000034,1,0.000026,43,0.000081,188,0.000354,768,0.002659,3088,
0.000022,1,0.000025,43,0.000096,188,0.000368,768,0.002660,3088,
0.000034,1,0.000026,43,0.000081,188,0.000221,768,0.001499,3088,
0.000021,1,0.000046,43,0.000049,188,0.000211,768,0.001512,3088,
