0.000024,1,0.000037,43,0.000049,188,0.000110,768,0.000561,3088,
0.000036,1,0.000039,43,0.000030,188,0.000111,768,0.000538,3088,
0.000037,1,0.000037,43,0.000042,188,0.000113,768,0.000554,3088,
0.000035,1,0.000035,43,0.000055,188,0.000180,768,0.000573,3088,
0.000037,1,0.000024,43,0.000029,188,0.000113,768,0.000549,3088,
0.000033,1,0.000035,43,0.000046,188,0.000110,768,0.000547,3088,
0.000035,1,0.000024,43,0.000036,188,0.000109,768,0.000310,3088,
0.000034,1,0.000023,43,0.000046,188,0.000127,768,0.000309,3088,
0.000045,1,0.000043,43,0.000047,188,0.000126,768,0.000551,3088,
0.000047,1,0.000027,43,0.000027,188,0.000065,768,0.000602,3088,
