0.000033,1,0.000026,43,0.000047,188,0.000218,768,0.001697,3088,
0.000035,1,0.000025,43,0.000079,188,0.000374,768,0.001934,3088,
0.000020,1,0.000027,43,0.000046,188,0.000365,768,0.002136,3088,
0.000036,1,0.000024,43,0.000044,188,0.000296,768,0.001519,3088,
0.000035,1,0.000023,43,0.000046,188,0.000212,768,0.001773,3088,
0.000035,1,0.000038,43,0.000048,188,0.000223,768,0.001582,3088,
0.000021,1,0.000025,43,0.000046,188,0.000215,768,0.001514,3088,
0.000031,1,0.000027,43,0.000087,188,0.000210,768,0.002167,3088,
0.000035,1,0.000042,43,0.000054,188,0.000220,768,0.002109,3088,
0.000026,1,0.000024,43,0.000047,188,0.000210,768,0.001496,3088,
