0.054917,0.376565,0.891049,1.637575,3.789521,5.598351,9.965307,16.548867,18.381083,55.983637,78.049588,
0.046676,0.366122,0.871694,1.630321,3.690164,5.585429,10.252352,16.326683,18.453924,56.161988,74.083483,
0.047247,0.365920,0.866874,1.639142,3.711886,5.597296,10.139946,16.119509,18.322355,55.994121,78.025438,
0.047376,0.367364,0.864890,1.621874,3.682848,5.598568,9.989588,16.961510,18.271686,55.733111,74.251672,
0.047195,0.367878,0.872056,1.638572,3.719742,5.557757,10.195275,16.978416,18.379867,56.112172,77.792025,
0.049475,0.367210,0.862345,1.640030,3.720189,5.578928,10.012331,16.705669,18.157648,53.443516,74.432095,
0.047693,0.370396,0.872626,1.641783,3.698817,5.635789,10.022134,16.759431,18.529825,53.584478,78.344579,
0.047212,0.365983,0.865911,1.630199,3.642471,5.633183,10.288853,16.410189,18.490891,53.640361,78.069284,
0.048975,0.366726,0.867368,1.643179,3.700694,5.624538,9.997625,16.619798,18.396426,55.915720,77.601119,
0.047606,0.369940,0.867722,1.639441,3.683540,5.569066,9.852102,16.926494,18.349777,53.454941,77.814431,
