0.052651,0.394947,1.025399,1.929791,4.073832,6.478592,11.016802,17.742877,20.576459,54.750564,75.791874,
0.054327,0.392269,1.020455,1.922858,4.027468,6.381753,10.801218,17.845636,21.170248,54.780621,75.819291,
0.053608,0.397236,1.026995,1.921846,4.058047,6.479024,10.746037,17.555338,20.696395,54.644615,75.779456,
0.051848,0.396206,1.021100,1.916462,4.059794,6.460279,10.875869,17.724845,20.889620,54.791408,75.612105,
0.051321,0.398647,1.025258,1.918311,3.958849,6.397445,10.832050,18.009689,20.977783,54.680481,75.569051,
0.052892,0.386174,1.021753,1.927756,3.992425,6.440044,10.798078,17.995983,20.877359,54.892821,75.637413,
0.050683,0.388682,1.023429,1.913924,4.023621,6.425260,11.021894,17.805726,20.947339,54.636120,75.645336,
0.050072,0.390128,1.009042,1.925082,4.123583,6.384789,10.884706,17.927100,20.747463,54.789915,75.784433,
0.047248,0.395563,1.021674,1.940746,3.974572,6.491403,10.860805,17.720797,21.207830,54.767295,75.727571,
0.050265,0.395712,1.037321,1.914102,4.015471,6.445221,10.710976,17.908865,21.132022,54.773219,75.643074,
