0.050934,0.400437,0.858482,1.612426,3.093388,4.701666,6.784638,10.391297,13.859168,18.294135,24.683508,
0.050953,0.431980,0.863840,1.588366,3.117735,4.697587,6.840666,10.438854,13.793310,18.075717,24.703317,
0.050936,0.394348,0.859976,1.591869,3.110486,4.710329,6.809847,10.402790,13.872620,17.941393,24.640274,
0.051040,0.393106,0.860827,1.591576,3.132774,4.716251,6.799809,10.416867,13.778433,17.915539,24.599959,
0.051619,0.394852,0.856134,1.603303,3.093194,4.736389,6.766722,10.378406,13.900277,17.997906,24.632091,
0.050910,0.392400,0.854224,1.608380,3.107920,4.696963,6.795804,10.412986,13.796191,17.966883,24.629491,
0.051272,0.393660,0.864428,1.588218,3.097341,4.724300,6.774814,10.415433,13.865220,17.888334,24.598971,
0.050924,0.392742,0.861540,1.606695,3.110852,4.708012,6.777765,10.364092,13.844238,17.953863,24.578501,
0.051017,0.399746,0.862930,1.594324,3.106861,4.722901,6.790673,10.374583,13.855529,17.946773,24.543524,
0.051428,0.395624,0.856706,1.586685,3.139798,4.693026,6.798531,10.366832,13.883079,17.923563,24.596483,
