0.222720,1.806139,3.671233,6.884957,16.762395,22.434136,38.188649,61.918918,76.081161,224.124993,304.089452,
0.221310,1.848194,3.750943,6.985498,16.581662,21.737306,36.398402,60.509090,74.926463,220.263391,303.434471,
0.221227,1.845838,3.764917,6.979906,16.887946,21.582736,36.147863,59.726372,74.918312,220.766198,306.031723,
0.220384,1.831732,3.745719,6.974120,16.806596,21.550547,36.146019,59.687018,74.870522,220.682733,303.266628,
0.219456,1.847106,3.742536,6.970052,16.834340,21.552517,36.161214,59.723724,74.475244,220.731486,303.257026,
0.221375,1.825136,3.739020,6.995651,16.902266,21.633003,36.570321,59.596286,74.105676,220.481879,302.978214,
0.219152,1.829387,3.740656,6.957786,16.875023,21.484368,36.087884,59.512071,73.861658,220.432961,303.314480,
0.219827,1.833984,3.743143,6.995797,16.925147,21.541807,36.230811,59.787625,74.589596,220.706829,303.287864,
0.218475,1.837020,3.742272,6.974525,16.791390,21.518128,36.118821,59.634056,74.316067,220.398186,303.157039,
0.220631,1.842343,3.775584,7.002384,16.787530,21.546987,36.212708,59.726315,74.577591,220.218592,305.650968,
