0.000510,1,0.029075,43,0.179491,188,0.641404,768,2.590407,3088,
0.000292,1,0.028031,43,0.144356,188,0.573954,768,2.401471,3088,
0.000301,1,0.028478,43,0.146058,188,0.591236,768,2.402983,3088,
0.000275,1,0.028862,43,0.147519,188,0.596224,768,2.403406,3088,
0.000248,1,0.028452,43,0.147417,188,0.598188,768,2.394997,3088,
0.000276,1,0.027946,43,0.147798,188,0.595484,768,2.398090,3088,
0.000274,1,0.028861,43,0.147215,188,0.599499,768,2.402165,3088,
0.000281,1,0.028189,43,0.147476,188,0.600485,768,2.400773,3088,
0.000286,1,0.028160,43,0.148944,188,0.592462,768,2.404504,3088,
0.000278,1,0.028938,43,0.148103,188,0.597953,768,2.395999,3088,
